file,task,model,seed,step,eval_return
baseline_sac_fetch-15684122_0.out,push,baseline,1,25000,-7.64
baseline_sac_fetch-15684122_0.out,push,baseline,1,50000,-9.194
baseline_sac_fetch-15684122_0.out,push,baseline,1,75000,-9.177
baseline_sac_fetch-15684122_0.out,push,baseline,1,100000,-8.603
baseline_sac_fetch-15684122_0.out,push,baseline,1,125000,-9.467
baseline_sac_fetch-15684122_0.out,push,baseline,1,150000,-9.274
baseline_sac_fetch-15684122_0.out,push,baseline,1,175000,-9.373
baseline_sac_fetch-15684122_0.out,push,baseline,1,200000,-7.481
baseline_sac_fetch-15684122_0.out,push,baseline,1,225000,-7.967
baseline_sac_fetch-15684122_0.out,push,baseline,1,250000,-8.673
baseline_sac_fetch-15684122_0.out,push,baseline,1,275000,-8.1
baseline_sac_fetch-15684122_0.out,push,baseline,1,300000,-8.898
baseline_sac_fetch-15684122_0.out,push,baseline,1,325000,-8.116
baseline_sac_fetch-15684122_0.out,push,baseline,1,350000,-7.361
baseline_sac_fetch-15684122_0.out,push,baseline,1,375000,-8.22
baseline_sac_fetch-15684122_0.out,push,baseline,1,400000,-7.602
baseline_sac_fetch-15684122_0.out,push,baseline,1,425000,-8.601
baseline_sac_fetch-15684122_0.out,push,baseline,1,450000,-9.509
baseline_sac_fetch-15684122_0.out,push,baseline,1,475000,-8.365
baseline_sac_fetch-15684122_0.out,push,baseline,1,499999,-8.915
baseline_sac_fetch-15684122_1.out,push,baseline,2,25000,-7.838
baseline_sac_fetch-15684122_1.out,push,baseline,2,50000,-8.647
baseline_sac_fetch-15684122_1.out,push,baseline,2,75000,-9.08
baseline_sac_fetch-15684122_1.out,push,baseline,2,100000,-7.933
baseline_sac_fetch-15684122_1.out,push,baseline,2,125000,-8.136
baseline_sac_fetch-15684122_1.out,push,baseline,2,150000,-9.641
baseline_sac_fetch-15684122_1.out,push,baseline,2,175000,-7.891
baseline_sac_fetch-15684122_1.out,push,baseline,2,200000,-7.153
baseline_sac_fetch-15684122_1.out,push,baseline,2,225000,-8.281
baseline_sac_fetch-15684122_1.out,push,baseline,2,250000,-8.14
baseline_sac_fetch-15684122_1.out,push,baseline,2,275000,-8.217
baseline_sac_fetch-15684122_1.out,push,baseline,2,300000,-9.076
baseline_sac_fetch-15684122_1.out,push,baseline,2,325000,-9.399
baseline_sac_fetch-15684122_1.out,push,baseline,2,350000,-8.937
baseline_sac_fetch-15684122_1.out,push,baseline,2,375000,-9.583
baseline_sac_fetch-15684122_1.out,push,baseline,2,400000,-8.734
baseline_sac_fetch-15684122_1.out,push,baseline,2,425000,-8.339
baseline_sac_fetch-15684122_1.out,push,baseline,2,450000,-8.915
baseline_sac_fetch-15684122_1.out,push,baseline,2,475000,-7.315
baseline_sac_fetch-15684122_1.out,push,baseline,2,499999,-9.124
baseline_sac_fetch-15684122_10.out,slide,baseline,3,25000,-25.019
baseline_sac_fetch-15684122_10.out,slide,baseline,3,50000,-22.192
baseline_sac_fetch-15684122_10.out,slide,baseline,3,75000,-19.395
baseline_sac_fetch-15684122_10.out,slide,baseline,3,100000,-17.421
baseline_sac_fetch-15684122_10.out,slide,baseline,3,125000,-22.299
baseline_sac_fetch-15684122_10.out,slide,baseline,3,150000,-19.415
baseline_sac_fetch-15684122_10.out,slide,baseline,3,175000,-23.361
baseline_sac_fetch-15684122_10.out,slide,baseline,3,200000,-18.382
baseline_sac_fetch-15684122_10.out,slide,baseline,3,225000,-19.464
baseline_sac_fetch-15684122_10.out,slide,baseline,3,250000,-21.179
baseline_sac_fetch-15684122_10.out,slide,baseline,3,275000,-18.19
baseline_sac_fetch-15684122_10.out,slide,baseline,3,300000,-14.766
baseline_sac_fetch-15684122_10.out,slide,baseline,3,325000,-15.159
baseline_sac_fetch-15684122_10.out,slide,baseline,3,350000,-13.778
baseline_sac_fetch-15684122_10.out,slide,baseline,3,375000,-15.232
baseline_sac_fetch-15684122_10.out,slide,baseline,3,400000,-12.061
baseline_sac_fetch-15684122_10.out,slide,baseline,3,425000,-12.18
baseline_sac_fetch-15684122_10.out,slide,baseline,3,450000,-11.983
baseline_sac_fetch-15684122_10.out,slide,baseline,3,475000,-8.52
baseline_sac_fetch-15684122_10.out,slide,baseline,3,500000,-10.374
baseline_sac_fetch-15684122_10.out,slide,baseline,3,525000,-8.15
baseline_sac_fetch-15684122_10.out,slide,baseline,3,550000,-9.325
baseline_sac_fetch-15684122_10.out,slide,baseline,3,575000,-8.541
baseline_sac_fetch-15684122_10.out,slide,baseline,3,599999,-10.539
baseline_sac_fetch-15684122_11.out,slide,baseline,4,25000,-25.504
baseline_sac_fetch-15684122_11.out,slide,baseline,4,50000,-21.78
baseline_sac_fetch-15684122_11.out,slide,baseline,4,75000,-18.891
baseline_sac_fetch-15684122_11.out,slide,baseline,4,100000,-19.792
baseline_sac_fetch-15684122_11.out,slide,baseline,4,125000,-20.477
baseline_sac_fetch-15684122_11.out,slide,baseline,4,150000,-20.382
baseline_sac_fetch-15684122_11.out,slide,baseline,4,175000,-20.824
baseline_sac_fetch-15684122_11.out,slide,baseline,4,200000,-18.217
baseline_sac_fetch-15684122_11.out,slide,baseline,4,225000,-16.986
baseline_sac_fetch-15684122_11.out,slide,baseline,4,250000,-14.25
baseline_sac_fetch-15684122_11.out,slide,baseline,4,275000,-13.246
baseline_sac_fetch-15684122_11.out,slide,baseline,4,300000,-12.952
baseline_sac_fetch-15684122_11.out,slide,baseline,4,325000,-11.689
baseline_sac_fetch-15684122_11.out,slide,baseline,4,350000,-12.022
baseline_sac_fetch-15684122_11.out,slide,baseline,4,375000,-11.093
baseline_sac_fetch-15684122_11.out,slide,baseline,4,400000,-11.084
baseline_sac_fetch-15684122_11.out,slide,baseline,4,425000,-11.647
baseline_sac_fetch-15684122_11.out,slide,baseline,4,450000,-9.908
baseline_sac_fetch-15684122_11.out,slide,baseline,4,475000,-9.794
baseline_sac_fetch-15684122_11.out,slide,baseline,4,500000,-8.27
baseline_sac_fetch-15684122_11.out,slide,baseline,4,525000,-8.81
baseline_sac_fetch-15684122_11.out,slide,baseline,4,550000,-8.643
baseline_sac_fetch-15684122_11.out,slide,baseline,4,575000,-9.255
baseline_sac_fetch-15684122_11.out,slide,baseline,4,599999,-8.118
baseline_sac_fetch-15684122_2.out,push,baseline,3,25000,-8.282
baseline_sac_fetch-15684122_2.out,push,baseline,3,50000,-8.542
baseline_sac_fetch-15684122_2.out,push,baseline,3,75000,-9.306
baseline_sac_fetch-15684122_2.out,push,baseline,3,100000,-6.815
baseline_sac_fetch-15684122_2.out,push,baseline,3,125000,-9.666
baseline_sac_fetch-15684122_2.out,push,baseline,3,150000,-8.716
baseline_sac_fetch-15684122_2.out,push,baseline,3,175000,-7.236
baseline_sac_fetch-15684122_2.out,push,baseline,3,200000,-8.705
baseline_sac_fetch-15684122_2.out,push,baseline,3,225000,-7.537
baseline_sac_fetch-15684122_2.out,push,baseline,3,250000,-9.926
baseline_sac_fetch-15684122_2.out,push,baseline,3,275000,-8.713
baseline_sac_fetch-15684122_2.out,push,baseline,3,300000,-7.643
baseline_sac_fetch-15684122_2.out,push,baseline,3,325000,-9.638
baseline_sac_fetch-15684122_2.out,push,baseline,3,350000,-9.734
baseline_sac_fetch-15684122_2.out,push,baseline,3,375000,-7.855
baseline_sac_fetch-15684122_2.out,push,baseline,3,400000,-9.103
baseline_sac_fetch-15684122_2.out,push,baseline,3,425000,-9.36
baseline_sac_fetch-15684122_2.out,push,baseline,3,450000,-7.621
baseline_sac_fetch-15684122_2.out,push,baseline,3,475000,-8.372
baseline_sac_fetch-15684122_2.out,push,baseline,3,499999,-8.251
baseline_sac_fetch-15684122_3.out,push,baseline,4,25000,-8.886
baseline_sac_fetch-15684122_3.out,push,baseline,4,50000,-9.497
baseline_sac_fetch-15684122_3.out,push,baseline,4,75000,-9.383
baseline_sac_fetch-15684122_3.out,push,baseline,4,100000,-8.892
baseline_sac_fetch-15684122_3.out,push,baseline,4,125000,-11.248
baseline_sac_fetch-15684122_3.out,push,baseline,4,150000,-8.986
baseline_sac_fetch-15684122_3.out,push,baseline,4,175000,-8.269
baseline_sac_fetch-15684122_3.out,push,baseline,4,200000,-9.738
baseline_sac_fetch-15684122_3.out,push,baseline,4,225000,-9.134
baseline_sac_fetch-15684122_3.out,push,baseline,4,250000,-9.089
baseline_sac_fetch-15684122_3.out,push,baseline,4,275000,-8.395
baseline_sac_fetch-15684122_3.out,push,baseline,4,300000,-8.812
baseline_sac_fetch-15684122_3.out,push,baseline,4,325000,-8.329
baseline_sac_fetch-15684122_3.out,push,baseline,4,350000,-7.943
baseline_sac_fetch-15684122_3.out,push,baseline,4,375000,-8.11
baseline_sac_fetch-15684122_3.out,push,baseline,4,400000,-9.347
baseline_sac_fetch-15684122_3.out,push,baseline,4,425000,-8.227
baseline_sac_fetch-15684122_3.out,push,baseline,4,450000,-8.029
baseline_sac_fetch-15684122_3.out,push,baseline,4,475000,-7.412
baseline_sac_fetch-15684122_3.out,push,baseline,4,499999,-8.013
baseline_sac_fetch-15684122_4.out,pick,baseline,1,25000,-12.257
baseline_sac_fetch-15684122_4.out,pick,baseline,1,50000,-11.303
baseline_sac_fetch-15684122_4.out,pick,baseline,1,75000,-10.133
baseline_sac_fetch-15684122_4.out,pick,baseline,1,100000,-12.374
baseline_sac_fetch-15684122_4.out,pick,baseline,1,125000,-11.463
baseline_sac_fetch-15684122_4.out,pick,baseline,1,150000,-11.271
baseline_sac_fetch-15684122_4.out,pick,baseline,1,175000,-10.542
baseline_sac_fetch-15684122_4.out,pick,baseline,1,200000,-11.559
baseline_sac_fetch-15684122_4.out,pick,baseline,1,225000,-11.993
baseline_sac_fetch-15684122_4.out,pick,baseline,1,250000,-12.583
baseline_sac_fetch-15684122_4.out,pick,baseline,1,275000,-12.549
baseline_sac_fetch-15684122_4.out,pick,baseline,1,300000,-10.936
baseline_sac_fetch-15684122_4.out,pick,baseline,1,325000,-12.9
baseline_sac_fetch-15684122_4.out,pick,baseline,1,350000,-11.638
baseline_sac_fetch-15684122_4.out,pick,baseline,1,375000,-12.494
baseline_sac_fetch-15684122_4.out,pick,baseline,1,400000,-12.856
baseline_sac_fetch-15684122_4.out,pick,baseline,1,425000,-12.924
baseline_sac_fetch-15684122_4.out,pick,baseline,1,450000,-9.436
baseline_sac_fetch-15684122_4.out,pick,baseline,1,475000,-11.061
baseline_sac_fetch-15684122_4.out,pick,baseline,1,500000,-12.774
baseline_sac_fetch-15684122_4.out,pick,baseline,1,525000,-10.9
baseline_sac_fetch-15684122_4.out,pick,baseline,1,550000,-12.017
baseline_sac_fetch-15684122_4.out,pick,baseline,1,575000,-12.98
baseline_sac_fetch-15684122_4.out,pick,baseline,1,599999,-11.893
baseline_sac_fetch-15684122_5.out,pick,baseline,2,25000,-11.373
baseline_sac_fetch-15684122_5.out,pick,baseline,2,50000,-12.59
baseline_sac_fetch-15684122_5.out,pick,baseline,2,75000,-13.58
baseline_sac_fetch-15684122_5.out,pick,baseline,2,100000,-11.695
baseline_sac_fetch-15684122_5.out,pick,baseline,2,125000,-11.937
baseline_sac_fetch-15684122_5.out,pick,baseline,2,150000,-12.131
baseline_sac_fetch-15684122_5.out,pick,baseline,2,175000,-11.119
baseline_sac_fetch-15684122_5.out,pick,baseline,2,200000,-13.192
baseline_sac_fetch-15684122_5.out,pick,baseline,2,225000,-12.696
baseline_sac_fetch-15684122_5.out,pick,baseline,2,250000,-13.872
baseline_sac_fetch-15684122_5.out,pick,baseline,2,275000,-9.619
baseline_sac_fetch-15684122_5.out,pick,baseline,2,300000,-11.079
baseline_sac_fetch-15684122_5.out,pick,baseline,2,325000,-10.889
baseline_sac_fetch-15684122_5.out,pick,baseline,2,350000,-11.161
baseline_sac_fetch-15684122_5.out,pick,baseline,2,375000,-12.517
baseline_sac_fetch-15684122_5.out,pick,baseline,2,400000,-10.994
baseline_sac_fetch-15684122_5.out,pick,baseline,2,425000,-11.478
baseline_sac_fetch-15684122_5.out,pick,baseline,2,450000,-13.636
baseline_sac_fetch-15684122_5.out,pick,baseline,2,475000,-10.326
baseline_sac_fetch-15684122_5.out,pick,baseline,2,500000,-11.095
baseline_sac_fetch-15684122_5.out,pick,baseline,2,525000,-11.625
baseline_sac_fetch-15684122_5.out,pick,baseline,2,550000,-9.465
baseline_sac_fetch-15684122_5.out,pick,baseline,2,575000,-12.386
baseline_sac_fetch-15684122_5.out,pick,baseline,2,599999,-11.825
baseline_sac_fetch-15684122_6.out,pick,baseline,3,25000,-11.941
baseline_sac_fetch-15684122_6.out,pick,baseline,3,50000,-13.585
baseline_sac_fetch-15684122_6.out,pick,baseline,3,75000,-13.818
baseline_sac_fetch-15684122_6.out,pick,baseline,3,100000,-9.436
baseline_sac_fetch-15684122_6.out,pick,baseline,3,125000,-11.726
baseline_sac_fetch-15684122_6.out,pick,baseline,3,150000,-11.029
baseline_sac_fetch-15684122_6.out,pick,baseline,3,175000,-12.657
baseline_sac_fetch-15684122_6.out,pick,baseline,3,200000,-11.642
baseline_sac_fetch-15684122_6.out,pick,baseline,3,225000,-13.325
baseline_sac_fetch-15684122_6.out,pick,baseline,3,250000,-10.173
baseline_sac_fetch-15684122_6.out,pick,baseline,3,275000,-12.277
baseline_sac_fetch-15684122_6.out,pick,baseline,3,300000,-13.106
baseline_sac_fetch-15684122_6.out,pick,baseline,3,325000,-12.37
