file,task,model,seed,step,eval_return
atari.sh-15674946-3.out,,unknown,-1,1024,0.44
atari.sh-15674946-3.out,,unknown,-1,50176,2.0
atari.sh-15674946-3.out,,unknown,-1,100352,2.24
atari.sh-15674946-3.out,,unknown,-1,150528,2.72
atari.sh-15674946-3.out,,unknown,-1,200704,2.88
atari.sh-15674946-3.out,,unknown,-1,250880,3.08
atari.sh-15674946-3.out,,unknown,-1,300032,2.84
atari.sh-15674946-3.out,,unknown,-1,350208,3.84
atari.sh-15674946-3.out,,unknown,-1,400384,3.08
atari.sh-15674946-3.out,,unknown,-1,450560,3.64
atari.sh-15674946-3.out,,unknown,-1,500736,2.88
atari.sh-15674946-3.out,,unknown,-1,550912,3.52
atari.sh-15674946-3.out,,unknown,-1,600064,3.6
atari.sh-15674946-3.out,,unknown,-1,650240,3.72
atari.sh-15674946-3.out,,unknown,-1,700416,3.64
atari.sh-15674946-3.out,,unknown,-1,750592,4.16
atari.sh-15674946-3.out,,unknown,-1,800768,4.36
atari.sh-15674946-3.out,,unknown,-1,850944,3.64
atari.sh-15674946-3.out,,unknown,-1,900096,3.64
atari.sh-15674946-3.out,,unknown,-1,950272,3.92
atari.sh-15674946-3.out,,unknown,-1,1000448,4.24
atari.sh-15674946-3.out,,unknown,-1,1050624,3.88
atari.sh-15674946-3.out,,unknown,-1,1100800,4.24
atari.sh-15674946-3.out,,unknown,-1,1150976,3.76
atari.sh-15674946-3.out,,unknown,-1,1200128,3.8
atari.sh-15674946-3.out,,unknown,-1,1250304,3.8
atari.sh-15674946-3.out,,unknown,-1,1300480,4.08
atari.sh-15674946-3.out,,unknown,-1,1350656,4.28
atari.sh-15674946-3.out,,unknown,-1,1400832,4.4
atari.sh-15674946-3.out,,unknown,-1,1451008,3.96
atari.sh-15674946-3.out,,unknown,-1,1500160,3.68
atari.sh-15674946-3.out,,unknown,-1,1550336,3.72
atari.sh-15674946-3.out,,unknown,-1,1600512,4.48
atari.sh-15674946-3.out,,unknown,-1,1650688,3.36
atari.sh-15674946-3.out,,unknown,-1,1700864,4.0
atari.sh-15674946-3.out,,unknown,-1,1750016,4.4
atari.sh-15674946-3.out,,unknown,-1,1800192,4.48
atari.sh-15674946-3.out,,unknown,-1,1850368,4.48
atari.sh-15674946-3.out,,unknown,-1,1900544,4.36
atari.sh-15674946-3.out,,unknown,-1,1950720,4.28
atari.sh-15674946-3.out,,unknown,-1,2000896,4.56
atari.sh-15674946-3.out,,unknown,-1,2050048,4.08
atari.sh-15674946-3.out,,unknown,-1,2100224,4.32
atari.sh-15674946-3.out,,unknown,-1,2150400,4.72
atari.sh-15674946-3.out,,unknown,-1,2200576,3.96
atari.sh-15674946-3.out,,unknown,-1,2250752,4.08
atari.sh-15674946-3.out,,unknown,-1,2300928,4.16
atari.sh-15674946-3.out,,unknown,-1,2350080,4.72
atari.sh-15674946-3.out,,unknown,-1,2400256,4.72
atari.sh-15674946-3.out,,unknown,-1,2450432,3.84
atari.sh-15674946-3.out,,unknown,-1,2500608,4.64
atari.sh-15674946-3.out,,unknown,-1,2550784,4.8
atari.sh-15674946-3.out,,unknown,-1,2600960,4.04
atari.sh-15674946-3.out,,unknown,-1,2650112,4.16
atari.sh-15674946-3.out,,unknown,-1,2700288,3.84
atari.sh-15674946-3.out,,unknown,-1,2750464,4.36
atari.sh-15674946-3.out,,unknown,-1,2800640,4.28
atari.sh-15674946-3.out,,unknown,-1,2850816,4.52
atari.sh-15674946-3.out,,unknown,-1,2900992,4.16
atari.sh-15674946-3.out,,unknown,-1,2950144,4.12
atari.sh-15674946-3.out,,unknown,-1,3000320,4.16
atari.sh-15674946-3.out,,unknown,-1,3050496,4.08
atari.sh-15674946-3.out,,unknown,-1,3100672,4.16
atari.sh-15674946-3.out,,unknown,-1,3150848,5.04
atari.sh-15674946-3.out,,unknown,-1,3200000,4.92
atari.sh-15674946-3.out,,unknown,-1,3250176,4.12
atari.sh-15674946-3.out,,unknown,-1,3300352,3.2
atari.sh-15674946-3.out,,unknown,-1,3350528,3.8
atari.sh-15674946-3.out,,unknown,-1,3400704,5.32
atari.sh-15674946-3.out,,unknown,-1,3450880,2.8
atari.sh-15674946-3.out,,unknown,-1,3500032,3.92
atari.sh-15674946-3.out,,unknown,-1,3550208,4.16
atari.sh-15674946-3.out,,unknown,-1,3600384,4.56
atari.sh-15674946-3.out,,unknown,-1,3650560,4.24
atari.sh-15674946-3.out,,unknown,-1,3700736,4.52
atari.sh-15674946-3.out,,unknown,-1,3750912,4.24
atari.sh-15674946-3.out,,unknown,-1,3800064,4.16
atari.sh-15674946-3.out,,unknown,-1,3850240,4.12
atari.sh-15674946-3.out,,unknown,-1,3900416,4.64
atari.sh-15674946-3.out,,unknown,-1,3950592,5.2
atari.sh-15674946-3.out,,unknown,-1,4000768,4.12
atari.sh-15674946-3.out,,unknown,-1,4050944,4.64
atari.sh-15674946-3.out,,unknown,-1,4100096,5.0
atari.sh-15674946-3.out,,unknown,-1,4150272,4.64
atari.sh-15674946-3.out,,unknown,-1,4200448,4.6
atari.sh-15674946-3.out,,unknown,-1,4250624,4.36
atari.sh-15674946-3.out,,unknown,-1,4300800,5.2
atari.sh-15674946-3.out,,unknown,-1,4350976,5.12
atari.sh-15674946-3.out,,unknown,-1,4400128,4.56
atari.sh-15674946-3.out,,unknown,-1,4450304,3.96
atari.sh-15674946-3.out,,unknown,-1,4500480,5.36
atari.sh-15674946-3.out,,unknown,-1,4550656,4.96
atari.sh-15674946-3.out,,unknown,-1,4600832,5.36
atari.sh-15674946-3.out,,unknown,-1,4651008,4.48
atari.sh-15674946-3.out,,unknown,-1,4700160,4.28
atari.sh-15674946-3.out,,unknown,-1,4750336,4.68
atari.sh-15674946-3.out,,unknown,-1,4800512,4.68
atari.sh-15674946-3.out,,unknown,-1,4850688,3.92
atari.sh-15674946-3.out,,unknown,-1,4900864,5.04
atari.sh-15674946-3.out,,unknown,-1,4950016,4.72
atari.sh-15674946-3.out,,unknown,-1,5000192,4.52
atari.sh-15674946-3.out,,unknown,-1,5050368,4.48
atari.sh-15674946-3.out,,unknown,-1,5100544,4.4
atari.sh-15674946-3.out,,unknown,-1,5150720,4.64
atari.sh-15674946-3.out,,unknown,-1,5200896,3.64
atari.sh-15674946-3.out,,unknown,-1,5250048,4.52
atari.sh-15674946-3.out,,unknown,-1,5300224,5.44
atari.sh-15674946-3.out,,unknown,-1,5350400,4.76
atari.sh-15674946-3.out,,unknown,-1,5400576,5.24
atari.sh-15674946-3.out,,unknown,-1,5450752,4.6
atari.sh-15674946-3.out,,unknown,-1,5500928,4.32
atari.sh-15674946-3.out,,unknown,-1,5550080,5.64
atari.sh-15674946-3.out,,unknown,-1,5600256,3.44
atari.sh-15674946-3.out,,unknown,-1,5650432,4.92
atari.sh-15674946-3.out,,unknown,-1,5700608,4.68
atari.sh-15674946-3.out,,unknown,-1,5750784,4.4
atari.sh-15674946-3.out,,unknown,-1,5800960,5.84
atari.sh-15674946-3.out,,unknown,-1,5850112,5.32
atari.sh-15674946-3.out,,unknown,-1,5900288,4.6
atari.sh-15674946-3.out,,unknown,-1,5950464,4.44
atari.sh-15674946-3.out,,unknown,-1,6000640,4.0
atari.sh-15674946-3.out,,unknown,-1,6050816,4.12
atari.sh-15674946-3.out,,unknown,-1,6100992,4.96
atari.sh-15674946-3.out,,unknown,-1,6150144,4.6
atari.sh-15674946-3.out,,unknown,-1,6200320,3.84
atari.sh-15674946-3.out,,unknown,-1,6250496,4.72
atari.sh-15674946-3.out,,unknown,-1,6300672,5.68
atari.sh-15674946-3.out,,unknown,-1,6350848,5.32
atari.sh-15674946-3.out,,unknown,-1,6400000,5.4
atari.sh-15674946-3.out,,unknown,-1,6450176,5.32
atari.sh-15674946-3.out,,unknown,-1,6500352,4.16
atari.sh-15674946-3.out,,unknown,-1,6550528,3.8
atari.sh-15674946-3.out,,unknown,-1,6600704,4.4
atari.sh-15674946-3.out,,unknown,-1,6650880,4.28
atari.sh-15674946-3.out,,unknown,-1,6700032,5.28
atari.sh-15674946-3.out,,unknown,-1,6750208,5.0
atari.sh-15674946-3.out,,unknown,-1,6800384,3.72
atari.sh-15674946-3.out,,unknown,-1,6850560,4.84
atari.sh-15674946-3.out,,unknown,-1,6900736,5.92
atari.sh-15674946-3.out,,unknown,-1,6950912,4.08
atari.sh-15674946-3.out,,unknown,-1,7000064,4.52
atari.sh-15674946-3.out,,unknown,-1,7050240,4.76
atari.sh-15674946-3.out,,unknown,-1,7100416,5.56
atari.sh-15674946-3.out,,unknown,-1,7150592,3.92
atari.sh-15674946-3.out,,unknown,-1,7200768,5.6
atari.sh-15674946-3.out,,unknown,-1,7250944,4.68
atari.sh-15674946-3.out,,unknown,-1,7300096,5.36
atari.sh-15674946-3.out,,unknown,-1,7350272,4.0
atari.sh-15674946-3.out,,unknown,-1,7400448,5.44
atari.sh-15674946-3.out,,unknown,-1,7450624,5.08
atari.sh-15674946-3.out,,unknown,-1,7500800,5.24
atari.sh-15674946-3.out,,unknown,-1,7550976,5.52
atari.sh-15674946-3.out,,unknown,-1,7600128,4.48
atari.sh-15674946-3.out,,unknown,-1,7650304,5.68
atari.sh-15674946-3.out,,unknown,-1,7700480,4.44
atari.sh-15674946-3.out,,unknown,-1,7750656,4.36
atari.sh-15674946-3.out,,unknown,-1,7800832,4.84
atari.sh-15674946-3.out,,unknown,-1,7851008,4.16
atari.sh-15674946-3.out,,unknown,-1,7900160,4.48
atari.sh-15674946-3.out,,unknown,-1,7950336,4.12
atari.sh-15674946-3.out,,unknown,-1,8000512,4.72
atari.sh-15674946-3.out,,unknown,-1,8050688,5.28
atari.sh-15674946-3.out,,unknown,-1,8100864,4.84
atari.sh-15674946-3.out,,unknown,-1,8150016,6.2
atari.sh-15674946-3.out,,unknown,-1,8200192,4.44
atari.sh-15674946-3.out,,unknown,-1,8250368,3.68
atari.sh-15674946-3.out,,unknown,-1,8300544,4.28
atari.sh-15674946-3.out,,unknown,-1,8350720,3.24
atari.sh-15674946-3.out,,unknown,-1,8400896,4.92
atari.sh-15674946-3.out,,unknown,-1,8450048,4.96
atari.sh-15674946-3.out,,unknown,-1,8500224,4.24
atari.sh-15674946-3.out,,unknown,-1,8550400,4.84
atari.sh-15674946-3.out,,unknown,-1,8600576,3.92
atari.sh-15674946-3.out,,unknown,-1,8650752,4.88
atari.sh-15674946-3.out,,unknown,-1,8700928,4.48
atari.sh-15674946-3.out,,unknown,-1,8750080,5.2
atari.sh-15674946-3.out,,unknown,-1,8800256,4.64
atari.sh-15674946-3.out,,unknown,-1,8850432,4.32
atari.sh-15674946-3.out,,unknown,-1,8900608,5.16
atari.sh-15674946-3.out,,unknown,-1,8950784,5.36
atari.sh-15674946-3.out,,unknown,-1,9000960,5.24
atari.sh-15674946-3.out,,unknown,-1,9050112,5.6
atari.sh-15674946-3.out,,unknown,-1,9100288,4.6
atari.sh-15674946-3.out,,unknown,-1,9150464,5.08
atari.sh-15674946-3.out,,unknown,-1,9200640,4.88
atari.sh-15674946-3.out,,unknown,-1,9250816,3.56
atari.sh-15674946-3.out,,unknown,-1,9300992,5.44
atari.sh-15674946-3.out,,unknown,-1,9350144,5.28
atari.sh-15674946-3.out,,unknown,-1,9400320,4.64
atari.sh-15674946-3.out,,unknown,-1,9450496,4.88
atari.sh-15674946-3.out,,unknown,-1,9500672,5.56
atari.sh-15674946-3.out,,unknown,-1,9550848,5.36
atari.sh-15674946-3.out,,unknown,-1,9600000,5.08
atari.sh-15674946-3.out,,unknown,-1,9650176,4.32
atari.sh-15674946-3.out,,unknown,-1,9700352,4.68
atari.sh-15674946-3.out,,unknown,-1,9750528,4.72
atari.sh-15674946-3.out,,unknown,-1,9800704,4.48
atari.sh-15674946-3.out,,unknown,-1,9850880,4.16
atari.sh-15674946-3.out,,unknown,-1,9900032,4.4
atari.sh-15674946-3.out,,unknown,-1,9950208,3.8
atari.sh-15675036-0.out,,unknown,-1,1024,0.28
atari.sh-15675036-0.out,,unknown,-1,50176,1.88
